iter	Passed	Remaining
1029	32633	30732
1030	32659	30695
1031	32711	30682
1032	32749	30657
1033	32794	30638
1034	32829	30608
1035	32862	30578
1036	32919	30570
1037	32954	30542
1038	32987	30510
1039	33015	30475
1040	33039	30437
1041	33064	30398
1042	33090	30361
1043	33121	30329
1044	33146	30291
1045	33166	30249
1046	33200	30220
1047	33227	30183
1048	33258	30151
1049	33278	30109
1050	33302	30070
1051	33328	30034
1052	33371	30012
1053	33410	29986
1054	33449	29962
1055	33490	29938
1056	33521	29906
1057	33555	29876
1058	33609	29864
1059	33643	29834
1060	33687	29813
1061	33719	29782
1062	33755	29754
1063	33798	29732
1064	33827	29698
1065	33863	29670
1066	33888	29632
1067	33923	29603
1068	33955	29572
1069	34046	29591
1070	34071	29553
1071	34095	29515
1072	34127	29484
1073	34156	29449
1074	34181	29412
1075	34221	29387
1076	34253	29355
1077	34294	29331
1078	34335	29308
1079	34379	29286
1080	34419	29261
1081	34450	29229
1082	34481	29195
1083	34509	29160
1084	34552	29138
1085	34585	29107
1086	34611	29070
1087	34637	29034
1088	34673	29005
1089	34696	28966
1090	34725	28932
1091	34764	28906
1092	34813	28889
1093	34849	28860
1094	34880	28828
1095	34919	28802
1096	34956	28774
1097	35002	28754
1098	35041	28727
1099	35072	28695
1100	35103	28662
1101	35141	28636
1102	35176	28606
1103	35219	28583
1104	35263	28561
1105	35289	28525
1106	35315	28488
1107	35364	28470
1108	35408	28447
1109	35440	28416
1110	35470	28382
1111	35504	28352
1112	35532	28317
1113	35559	28281
1114	35581	28242
1115	35622	28217
1116	35645	28178
1117	35671	28141
1118	35698	28105
1119	35724	28069
1120	35748	28031
1121	35777	27996
1122	35808	27964
1123	35846	27937
1124	35874	27902
1125	35898	27864
1126	35925	27828
1127	35962	27801
1128	35995	27769
1129	36042	27749
1130	36066	27711
1131	36092	27675
1132	36120	27640
1133	36142	27600
1134	36191	27581
1135	36212	27542
1136	36232	27501
1137	36260	27466
1138	36287	27430
1139	36311	27392
1140	36341	27359
1141	36365	27321
1142	36382	27279
1143	36404	27240
1144	36427	27201
1145	36484	27188
1146	36514	27155
1147	36551	27127
1148	36576	27090
1149	36600	27052
1150	36626	27016
1151	36648	26977
1152	36706	26964
1153	36729	26926
1154	36752	26888
1155	36775	26849
1156	36798	26811
1157	36825	26776
1158	36842	26734
1159	36865	26695
1160	36888	26657
1161	36915	26622
1162	36941	26586
1163	36962	26547
1164	36985	26509
1165	37002	26466
1166	37018	26423
1167	37039	26384
1168	37070	26351
1169	37097	26316
1170	37121	26280
1171	37144	26241
1172	37166	26203
1173	37207	26178
1174	37259	26160
1175	37294	26131
1176	37323	26097
1177	37352	26064
1178	37387	26034
1179	37417	26001
1180	37440	25963
1181	37455	25921
1182	37488	25890
1183	37523	25860
1184	37548	25824
1185	37578	25791
1186	37595	25749
1187	37633	25722
1188	37660	25687
1189	37683	25650
1190	37708	25614
1191	37741	25583
1192	37771	25550
1193	37799	25516
1194	37818	25475
1195	37850	25444
1196	37889	25418
1197	37915	25382
1198	37955	25356
1199	37972	25314
1200	38015	25290
1201	38048	25259
1202	38077	25226
1203	38104	25191
1204	38131	25157
1205	38167	25128
1206	38191	25092
1207	38220	25058
1208	38247	25023
1209	38294	25002
1210	38323	24968
1211	38350	24934
1212	38368	24893
1213	38395	24859
1214	38416	24820
1215	38443	24785
1216	38469	24750
1217	38494	24714
1218	38523	24681
1219	38540	24640
1220	38561	24602
1221	38594	24571
1222	38615	24533
1223	38646	24501
1224	38699	24483
1225	38731	24451
1226	38773	24426
1227	38825	24408
1228	38873	24386
1229	38899	24351
1230	38936	24323
1231	38978	24298
1232	39006	24264
1233	39046	24237
1234	39072	24202
1235	39095	24165
1236	39113	24125
1237	39135	24088
1238	39165	24055
1239	39193	24021
1240	39224	23989
1241	39252	23955
1242	39281	23922
1243	39305	23886
1244	39323	23846
1245	39344	23808
1246	39369	23773
1247	39434	23761
1248	39460	23726
1249	39488	23692
1250	39507	23654
1251	39540	23623
1252	39601	23608
1253	39621	23570
1254	39648	23536
1255	39672	23500
1256	39694	23463
1257	39726	23431
1258	39751	23396
1259	39769	23356
1260	39802	23326
1261	39830	23292
1262	39858	23258
1263	39894	23229
1264	39937	23204
1265	39963	23169
1266	39992	23136
1267	40027	23107
1268	40069	23081
1269	40100	23049
1270	40130	23017
1271	40167	22988
1272	40205	22961
1273	40236	22928
1274	40263	22895
1275	40286	22858
1276	40326	22831
1277	40353	22797
1278	40391	22769
1279	40453	22755
1280	40480	22720
1281	40505	22685
1282	40525	22647
1283	40561	22618
1284	40595	22588
1285	40617	22551
1286	40649	22520
1287	40675	22485
1288	40707	22453
1289	40738	22421
1290	40785	22398
1291	40819	22368
1292	40838	22330
1293	40876	22302
1294	40898	22265
1295	40925	22230
1296	40981	22212
1297	41017	22183
1298	41046	22150
1299	41068	22113
1300	41108	22086
1301	41131	22050
1302	41180	22028
1303	41206	21993
1304	41242	21964
1305	41268	21930
1306	41293	21894
1307	41338	21870
1308	41365	21836
1309	41389	21800
1310	41416	21766
1311	41457	21739
1312	41481	21704
1313	41507	21669
1314	41534	21635
1315	41555	21598
1316	41597	21572
1317	41631	21542
1318	41658	21508
1319	41690	21476
1320	41715	21442
1321	41747	21410
1322	41785	21382
1323	41808	21346
1324	41840	21314
1325	41865	21280
1326	41895	21247
1327	41922	21213
1328	41968	21189
1329	41991	21153
1330	42018	21119
1331	42039	21082
1332	42062	21046
1333	42092	21014
1334	42124	20983
1335	42185	20966
1336	42222	20937
1337	42247	20902
1338	42268	20865
1339	42307	20837
1340	42356	20814
1341	42396	20787
1342	42430	20757
1343	42461	20725
1344	42498	20696
1345	42529	20664
1346	42558	20631
1347	42622	20615
1348	42677	20595
1349	42716	20567
1350	42752	20537
1351	42793	20510
1352	42829	20480
1353	42857	20447
1354	42885	20414
1355	42937	20392
1356	42988	20369
1357	43028	20341
1358	43055	20308
1359	43118	20290
1360	43152	20260
1361	43182	20227
1362	43206	20192
1363	43251	20166
1364	43278	20132
1365	43313	20103
1366	43342	20070
1367	43375	20038
1368	43409	20008
1369	43441	19976
1370	43463	19940
1371	43502	19912
1372	43559	19891
1373	43587	19858
1374	43624	19829
1375	43646	19793
1376	43668	19757
1377	43734	19740
1378	43772	19711
1379	43813	19684
1380	43856	19657
1381	43888	19626
1382	43939	19602
1383	43981	19575
1384	44035	19553
1385	44070	19523
1386	44102	19491
1387	44130	19458
1388	44166	19428
1389	44192	19393
1390	44225	19362
1391	44263	19333
1392	44285	19297
1393	44328	19270
1394	44359	19238
1395	44395	19208
1396	44431	19178
1397	44464	19147
1398	44498	19116
1399	44532	19085
1400	44555	19049
1401	44584	19016
1402	44624	18988
1403	44658	18957
1404	44691	18926
1405	44713	18890
1406	44755	18862
1407	44777	18827
1408	44806	18794
1409	44838	18762
1410	44859	18726
1411	44884	18691
1412	44911	18657
1413	44947	18627
1414	44973	18593
1415	45003	18560
1416	45035	18529
1417	45080	18502
1418	45132	18479
1419	45172	18450
1420	45211	18421
1421	45253	18394
1422	45277	18359
1423	45323	18333
1424	45367	18306
1425	45387	18269
1426	45415	18236
1427	45448	18204
1428	45475	18171
1429	45502	18137
1430	45539	18107
1431	45580	18079
1432	45610	18047
1433	45636	18012
1434	45661	17978
1435	45684	17943
1436	45738	17919
1437	45772	17888
1438	45802	17856
1439	45828	17822
1440	45854	17788
1441	45894	17759
1442	45926	17727
1443	45956	17695
1444	45982	17661
1445	46005	17626
1446	46038	17594
1447	46069	17562
1448	46108	17533
1449	46132	17498
1450	46159	17465
1451	46187	17431
1452	46216	17398
1453	46240	17364
1454	46272	17332
1455	46296	17297
1456	46352	17274
1457	46378	17240
1458	46456	17226
1459	46499	17198
1460	46547	17172
1461	46597	17147
1462	46630	17115
1463	46668	17086
1464	46703	17055
1465	46736	17024
1466	46762	16989
1467	46795	16958
1468	46813	16921
1469	46849	16891
1470	46878	16858
1471	46891	16819
1472	46918	16786
1473	46948	16753
1474	46989	16724
1475	47010	16689
1476	47066	16666
1477	47090	16631
1478	47106	16593
1479	47148	16565
1480	47169	16529
1481	47205	16499
1482	47227	16464
1483	47273	16437
1484	47311	16407
1485	47351	16378
1486	47371	16342
1487	47414	16314
1488	47436	16279
1489	47455	16243
1490	47478	16208
1491	47507	16175
1492	47549	16146
1493	47584	16116
